iter	Passed	Remaining
0	137	137378
1	138	69156
2	139	46392
3	140	35033
4	141	28149
5	142	23548
6	142	20260
7	143	17797
8	144	15883
9	144	14348
10	145	13094
11	146	12048
12	147	11172
13	147	10416
14	148	9763
15	149	9203
16	150	8707
17	151	8264
18	152	7859
19	152	7494
20	153	7164
21	154	6865
22	155	6592
23	155	6341
24	157	6123
25	157	5910
26	158	5715
27	159	5532
28	160	5363
29	161	5206
30	161	5057
31	162	4918
32	163	4804
33	164	4686
34	165	4570
35	166	4459
36	167	4355
37	168	4256
38	168	4162
39	169	4074
40	170	3990
41	171	3912
42	172	3834
43	173	3763
44	174	3694
45	174	3627
46	175	3562
47	176	3502
48	177	3448
49	178	3396
50	179	3347
51	180	3298
52	181	3249
53	182	3200
54	183	3151
55	184	3104
56	184	3058
57	185	3014
58	186	2971
59	186	2929
60	187	2888
61	188	2849
62	189	2812
63	189	2776
64	190	2743
65	191	2710
66	192	2677
67	193	2652
68	194	2627
69	195	2601
70	196	2572
71	197	2544
72	198	2518
73	199	2491
74	199	2466
75	200	2439
76	201	2415
77	202	2391
78	203	2367
79	203	2343
80	204	2320
81	205	2298
82	205	2272
83	206	2252
84	208	2242
85	209	2224
86	210	2204
87	210	2185
88	211	2166
89	212	2147
90	213	2129
91	213	2111
92	214	2094
93	215	2078
94	216	2062
95	217	2047
96	218	2031
97	219	2016
98	219	2001
99	220	1987
100	221	1972
101	222	1963
102	223	1950
103	224	1938
104	225	1924
105	226	1911
106	227	1899
107	228	1886
108	229	1874
109	230	1861
110	230	1848
111	231	1835
112	232	1823
113	232	1810
114	233	1798
115	234	1786
116	235	1774
117	235	1762
118	236	1751
119	237	1742
120	238	1733
121	239	1722
122	240	1711
123	240	1700
124	241	1690
125	242	1680
126	242	1669
127	243	1659
128	244	1650
129	245	1640
130	246	1632
131	246	1623
132	247	1614
133	248	1605
134	249	1596
135	249	1587
136	250	1578
137	251	1571
138	252	1564
139	253	1556
140	254	1548
141	254	1538
142	255	1530
143	256	1523
144	257	1515
145	257	1508
146	258	1501
147	259	1494
148	260	1487
149	261	1481
150	262	1474
151	263	1468
152	264	1461
153	264	1455
154	265	1448
155	266	1443
156	267	1438
157	268	1431
158	269	1425
159	270	1418
160	270	1410
161	271	1404
162	272	1398
163	273	1392
164	274	1387
165	275	1381
166	275	1376
167	276	1370
168	277	1364
169	278	1358
170	279	1353
171	280	1348
172	280	1343
173	281	1337
174	283	1335
175	284	1330
176	284	1324
177	285	1319
178	286	1315
179	287	1311
180	288	1306
181	289	1302
182	291	1299
183	292	1294
184	292	1289
185	293	1284
186	294	1280
187	295	1275
188	296	1270
189	297	1268
190	298	1264
191	299	1260
192	300	1255
193	301	1250
194	301	1245
195	302	1240
196	303	1235
197	303	1231
198	304	1226
199	305	1221
200	306	1216
201	306	1212
202	307	1208
203	308	1203
204	309	1199
205	310	1195
206	310	1190
207	311	1187
208	312	1184
209	313	1180
210	314	1176
211	315	1172
212	316	1168
213	317	1164
214	317	1161
215	318	1157
216	319	1153
217	320	1149
218	321	1146
219	322	1142
220	323	1138
221	323	1135
222	324	1131
223	325	1127
224	326	1123
225	327	1120
226	328	1117
227	328	1113
228	329	1109
229	330	1105
230	330	1101
231	331	1098
232	332	1095
233	333	1091
234	334	1088
235	335	1084
236	335	1081
237	336	1077
238	337	1073
239	337	1070
240	338	1066
241	339	1063
242	340	1060
243	341	1057
244	342	1054
245	343	1052
246	344	1049
247	345	1046
248	345	1042
249	346	1040
250	347	1037
251	348	1034
252	349	1031
253	350	1028
254	350	1025
255	351	1022
256	352	1018
257	353	1016
258	354	1013
259	354	1010
260	355	1007
261	357	1005
262	358	1003
263	358	1000
264	359	997
265	360	994
266	361	991
267	361	988
268	362	985
269	363	982
270	364	979
271	364	976
272	365	973
273	366	970
274	367	967
275	367	964
276	369	963
277	369	960
278	370	958
279	371	956
280	373	954
281	374	952
282	375	950
283	375	947
284	376	945
285	377	942
286	378	940
287	379	937
288	380	934
289	380	932
290	381	929
291	382	926
292	383	924
293	384	922
294	384	919
295	385	917
296	387	917
297	389	918
298	390	916
299	391	913
300	392	911
301	393	909
302	394	906
303	394	904
304	395	902
305	396	899
306	397	897
307	398	895
308	399	892
309	399	890
310	400	887
311	402	886
312	403	885
313	404	882
314	405	880
315	406	879
316	407	877
317	408	876
318	409	874
319	410	872
320	411	870
321	412	868
322	413	865
323	413	863
324	414	861
325	415	858
326	416	857
327	417	855
328	418	853
329	419	851
330	420	849
331	421	847
332	422	845
333	423	843
334	424	841
335	425	839
336	425	837
337	426	836
338	427	834
339	428	832
340	429	830
341	430	828
342	431	827
343	433	826
344	434	824
345	435	822
346	435	820
347	436	818
348	437	815
349	438	813
350	438	811
351	439	809
352	440	807
353	441	805
354	441	803
355	442	801
356	443	799
357	444	796
358	445	794
359	446	793
360	447	791
361	448	790
362	449	788
363	450	786
364	451	784
365	452	783
366	452	781
367	453	779
368	454	778
369	455	776
370	456	774
371	457	772
372	458	770
373	459	768
374	460	767
375	461	766
376	462	764
377	463	763
378	464	761
379	465	759
380	466	757
381	467	755
382	468	754
383	468	752
384	469	750
385	470	748
386	471	746
387	472	744
388	472	742
389	473	741
390	474	739
391	475	737
392	477	737
393	478	735
394	479	734
395	480	732
396	481	730
397	481	728
398	482	726
399	483	725
400	484	723
401	485	721
402	485	719
403	486	718
404	487	716
405	488	714
406	489	713
407	490	711
408	491	710
409	492	708
410	493	707
411	494	705
412	495	703
413	496	702
414	496	700
415	497	698
416	498	697
417	499	695
418	501	694
419	501	693
420	502	691
421	503	689
422	504	687
423	504	686
424	506	684
425	507	683
426	508	681
427	509	680
428	509	678
429	510	677
430	511	675
431	512	674
432	513	672
433	514	671
434	515	669
435	516	667
436	517	666
437	518	664
438	518	663
439	519	661
440	522	661
441	523	660
442	523	658
443	524	657
444	525	655
445	526	654
446	527	652
447	528	650
448	529	649
449	529	647
450	530	646
451	531	644
452	532	642
453	533	641
454	533	639
455	534	637
456	536	636
457	537	635
458	537	634
459	538	632
460	539	630
461	540	629
462	541	627
463	542	626
464	543	624
465	544	623
466	544	621
467	545	620
468	546	618
469	547	617
470	548	615
471	549	614
472	550	613
473	551	612
474	552	610
475	553	609
476	554	607
477	555	606
478	556	605
479	557	603
480	558	602
481	559	600
482	560	599
483	561	598
484	561	596
485	562	595
486	563	593
487	600	630
488	602	629
489	627	652
490	628	651
491	629	650
492	631	649
493	633	648
494	635	648
495	636	646
496	637	645
497	638	644
498	640	642
499	641	641
500	642	640
501	643	638
502	645	637
503	646	636
504	647	634
505	649	633
506	650	632
507	651	630
508	652	629
509	653	628
510	654	626
511	656	625
512	657	623
513	658	622
514	659	620
515	660	619
516	662	619
517	664	618
518	665	616
519	666	614
520	667	614
521	668	612
522	669	610
523	671	610
524	672	608
525	673	606
526	696	625
527	698	624
528	699	622
529	700	620
530	700	619
531	701	617
532	702	615
533	703	613
534	704	612
535	705	610
536	706	608
537	707	607
538	708	605
539	709	604
540	710	602
541	711	601
542	712	599
543	712	597
544	713	595
545	714	593
546	715	592
547	715	590
548	716	588
549	717	587
550	718	585
551	719	583
552	719	581
553	720	580
554	721	578
555	722	576
556	723	575
557	724	573
558	725	572
559	726	570
560	727	568
561	727	567
562	728	565
563	729	563
564	730	562
565	730	560
566	731	558
567	732	557
568	733	555
